(19815, 3)
(17540, 0)
(17731, 3)
(20807, 0)
(4254, 3)
(12128, 3)
(19327, 1)
(9943, 3)
(19346, 2)
(3619, 3)
(10292, 3)
(11964, 0)
(12216, 2)
(5569, 0)
(14004, 0)
(10249, 1)
(12743, 3)
(17714, 2)
(3770, 2)
(7498, 3)
(6849, 1)
(9007, 3)
(13220, 3)
(4298, 1)
(18358, 1)
(10469, 3)
(14226, 2)
(10462, 0)
(3494, 3)
(12227, 0)
(20157, 0)
(12563, 3)
(16560, 2)
(10791, 0)
(18699, 2)
(13659, 3)
(4960, 0)
(16554, 3)
(14176, 3)
(16762, 0)
(17855, 2)
(11589, 0)
(8363, 3)
(6378, 2)
(16784, 3)
(10283, 3)
(15325, 2)
(17574, 1)
(19493, 0)
(13175, 3)
(19679, 1)
(11548, 2)
(10124, 1)
(11761, 3)
(4412, 1)
(2644, 1)
(5916, 2)
(4445, 3)
(16944, 2)
(1214, 0)
(7875, 1)
(12524, 3)
(11871, 3)
(10038, 2)
(14320, 0)
(15750, 1)
(16716, 1)
(7850, 2)
(15278, 2)
(3962, 0)
(12930, 3)
(14461, 1)
(15918, 0)
(19213, 1)
(3487, 0)
(3338, 0)
(18076, 3)
(9872, 2)
(12241, 2)
(4736, 0)
(11044, 2)
(8388, 0)
(9042, 1)
(11720, 0)
(11329, 0)
