(39809, 2)
(43920, 2)
(46996, 1)
(51936, 0)
(13986, 1)
(9619, 1)
(16701, 2)
(56290, 3)
(45976, 3)
(19992, 3)
(53642, 1)
(9322, 3)
(5003, 3)
(7831, 0)
(7164, 2)
(24820, 0)
(33783, 2)
(10061, 2)
(41154, 0)
(16699, 2)
(14239, 2)
(57193, 0)
(16598, 2)
(43350, 3)
(28529, 1)
(15933, 2)
(42887, 3)
(23094, 2)
(47643, 1)
(13413, 2)
(42251, 3)
(10371, 1)
(43343, 3)
(10226, 0)
(13373, 0)
(18606, 3)
(52880, 0)
(23700, 3)
(39607, 1)
(45616, 2)
(54175, 0)
(2687, 1)
(32930, 3)
(8546, 0)
(44377, 3)
(43155, 0)
(50785, 1)
(6802, 1)
(9066, 3)
(55191, 0)
(9906, 1)
(41350, 3)
(40754, 2)
(53457, 1)
(27253, 3)
(37532, 1)
(14390, 1)
(39278, 3)
(32488, 3)
(26202, 3)
(41488, 1)
(24304, 1)
(28843, 2)
(38831, 1)
(36536, 2)
(14441, 1)
(53834, 3)
(8519, 1)
(25732, 1)
(35545, 1)
(22598, 0)
(51937, 2)
(38688, 0)
(4520, 0)
(49229, 2)
(56656, 2)
(38562, 1)
(20667, 3)
(20286, 0)
(9396, 2)
(25261, 1)
(12923, 0)
(36969, 2)
(35386, 3)
(23989, 3)
