(18927, 0)
(33458, 2)
(17678, 3)
(17477, 2)
(23320, 1)
(9647, 0)
(31960, 3)
(28302, 0)
(20972, 2)
(28862, 2)
(28251, 0)
(21425, 0)
(31580, 0)
(2046, 0)
(7233, 0)
(15960, 3)
(3970, 3)
(13652, 0)
(16523, 2)
(31590, 1)
(36545, 2)
(17823, 1)
(5275, 1)
(21506, 3)
(2031, 1)
(13712, 0)
(30994, 2)
(13397, 1)
(33657, 0)
(21539, 1)
(29638, 1)
(33068, 3)
(26251, 3)
(9341, 1)
(7423, 1)
(9233, 0)
(8755, 1)
(19612, 1)
(11987, 1)
(16721, 1)
(23094, 2)
(1647, 1)
(15079, 2)
(31891, 0)
(23421, 1)
(33831, 3)
(30371, 2)
(33475, 3)
(36951, 1)
(29753, 2)
(14326, 0)
(15923, 2)
(16303, 0)
(16867, 3)
(15463, 0)
(30718, 2)
(14723, 1)
(4952, 3)
(9851, 3)
(9146, 2)
(25250, 1)
(2428, 3)
(17275, 2)
(5470, 2)
(23311, 2)
(15338, 2)
(16261, 2)
(21172, 0)
(27860, 1)
(30194, 3)
(15272, 0)
(21912, 2)
(15871, 0)
(32085, 1)
(15807, 1)
(9265, 3)
(12351, 3)
(11573, 1)
(19550, 2)
(15617, 3)
(8820, 3)
(13009, 1)
(24450, 3)
(24214, 1)
(12669, 0)
